cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
359,Company of Biologists,Company of Biologists,The Company of Biologists,6,100.0,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
359,Company of Biologists,Company of Biologists,Company of Biologists,6,100.0,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
359,Company of Biologists,Company of Biologists,Company of Biologists Ltd.,1,100.0,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
359,Company of Biologists,Company of Biologists,The Company of Biologists Ltd.,4,100.0,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
359,Company of Biologists,Company of Biologists,The Company of Biologists Ltd.Cambridge,1,78.26086956521739,6,6,"Company of Biologists, Company of Biologists Ltd., The Company of Biologists, The Company of Biologists Ltd, The Company of Biologists Ltd., The Company of Biologists Ltd.Cambridge"
360,The National Athletic Trainers' Association,The National Athletic Trainers' Association,The National Athletic Trainers' Association,5,100.0,2,5,"National Athletic Trainers Association, Inc., The National Athletic Trainers' Association"
360,The National Athletic Trainers' Association,The National Athletic Trainers' Association,"National Athletic Trainers Association, Inc.",1,100.0,2,5,"National Athletic Trainers Association, Inc., The National Athletic Trainers' Association"
361,ZHB Luzern,ZHB Luzern,ZHB Luzern,1,100.0,1,1,ZHB Luzern
362,ALT-C,ALT-C,ALT-C,1,100.0,1,1,ALT-C
363,Karger Publishers,Karger Publishers,Karger Publishers,7,100.0,1,7,Karger Publishers
364,Immediate Media Company Limited,Immediate Media Company Limited,Immediate Media Company Limited,1,100.0,1,1,Immediate Media Company Limited
